Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 5 > 5.3,motivatie,motivation,,,,,,,,,,,
Chapter 4 > 4.1,Munt,Coin,,,,,,,,,,,
Chapter 1 > 1.5,muziekinstrument,musical instrument,,,,,,,,,,,
Chapter 1 > 1.5,naaien,sew,,,,,,,,,,,
Chapter 2,Nadenken,Think Reflect,,,,,,,,,,,
Chapter 1 > 1.7,nakomen,comply,,,,,,,,,,,
Chapter 4 > 4.3,namens,On behalf of,,,,,,,,,,,
Chapter 3 > 3.5,nauwelijks,hardly barely or scarcely,,,,,,,,,,,
Chapter 1 > 1.2,nemen,to take,,,,,,,,,,,
Chapter 1 > 1.7,nieuwsgierig,curious,,,,,,,,,,,
Chapter 3 > 3.5,Nogal,rather quite somewhat,,,,,,,,,,,
Uncategorized,noodzakelijk,necessary,,,,,,,,,,,
Chapter 4 > 4.1,noteren,Write down,,,,,,,,,,,
Chapter 3 > 3.3,Notulen,Meeting Minutes,,,,,,,,,,,
Chapter 3 > 3.1,nuttig,Useful Handy,,,,,,,,,,,
Chapter 2,omgeving,environment/surroundings,,,,,,,,,,,
Chapter 2 > 2.6,omhoog,Upwards,,,,,,,,,,,
Chapter 2 > 2.6,Omlaag,Downwards,,,,,,,,,,,
Chapter 1 > 1.2,onafhankelijk,independent,,,,,,,,,,,
Chapter 1 > 1.1,ondanks,Despite,,,,,,,,,,,
Chapter 1 > 1.2,onderdeel,element,,,,,,,,,,,
Chapter 5 > 5.1,ondernemer,Entrepreneur,,,,,,,,,,,
Chapter 2 > 2.6,ondertussen,Meanwhile,,,,,,,,,,,
Chapter 2,Onderzoeken,Investigate,,,,,,,,,,,
Chapter 3 > 3.1,ongerust,Worried,,,,,,,,,,,
Chapter 2 > 2.2,ongeval,Accident,,,,,,,,,,,
Chapter 2 > 2.6,onthouden,Remember,,,,,,,,,,,
Chapter 2 > 2.1,Ontspannen,Relax Unwind,,,,,,,,,,,
Chapter 1 > 1.1,ontstaan,to arise,,,,,,,,,,,
Chapter 3 > 3.5,ontzettend,Terribly,,,,,,,,,,,
Chapter 3 > 3.5,Ontzettende,Enormous Extreme,,,,,,,,,,,
Chapter 2 > 2.2,oorzaak,cause/reason,,,,,,,,,,,
Chapter 1 > 1.2,openbaar,public,,,,,,,,,,,
Chapter 1 > 1.7,openstaan,be open,,,,,,,,,,,
Chapter 4 > 4.3,opgelucht,Relieved,,,,,,,,,,,
Chapter 1 > 1.7,opgeven,to report,,,,,,,,,,,
Chapter 1 > 1.1,opgroeien,grow up,,,,,,,,,,,
Chapter 3 > 3.7,opknappen,Fix up,,,,,,,,,,,
Uncategorized,opleiding,course,,,,,,,,,,,
Chapter 1 > 1.5,opnemen,to withdraw,,,,,,,,,,,
Chapter 1 > 1.5,oprapen,pick up,,,,,,,,,,,
Chapter 2 > 2.6,optillen,Lift up,,,,,,,,,,,
Chapter 4 > 4.4,overhouden,Have left,,,,,,,,,,,
Chapter 3 > 3.1,overkant,Across the street,,,,,,,,,,,
Chapter 4 > 4.1,overmaken,Transfer,,,,,,,,,,,
Chapter 3 > 3.5,overnemen,to take over to adopt to copy,,,,,,,,,,,
Chapter 5 > 5.2,overtuigen,convince,,,,,,,,,,,
Chapter 4 > 4.1,overvallen,Rob/Take by surprise,,,,,,,,,,,
Chapter 4 > 4.3,overzicht,Overview,,,,,,,,,,,
Chapter 4 > 4.1,pech,Bad luck,,,,,,,,,,,
Chapter 5 > 5.2,persoonlijkheid,personality,,,,,,,,,,,
Chapter 2 > 2.3,pijnstiller,painkiller,,,,,,,,,,,
Chapter 2 > 2.3,pincet,tweezers,,,,,,,,,,,
Chapter 5 > 5.2,plannen,plan,,,,,,,,,,,
Chapter 3 > 3.6,platteland,Countryside,,,,,,,,,,,
Chapter 2 > 2.3,pleister,bandage/patch,,,,,,,,,,,
Chapter 2 > 2.5,plotseling,Suddenly all of a sudden,,,,,,,,,,,
Chapter 1 > 1.5,plukken,pick,,,,,,,,,,,
Chapter 1 > 1.5,populair,popular,,,,,,,,,,,
Chapter 3 > 3.5,Praatje,Small Talk,,,,,,,,,,,
Chapter 5 > 5.2,praktisch,practical,,,,,,,,,,,
Chapter 5 > 5.3,punten,point,,,,,,,,,,,
Chapter 3 > 3.6,put,Pit/Well,,,,,,,,,,,
Chapter 1 > 1.1,recht,right,,,,,,,,,,,
Chapter 2 > 2.6,Rechter,Right (side),,,,,,,,,,,
Chapter 2 > 2.6,rechtop,Upright,,,,,,,,,,,
Chapter 2 > 2.5,regering,Government,,,,,,,,,,,
Chapter 2 > 2.5,Rekening,Take into account Bill,,,,,,,,,,,
Chapter 4 > 4.1,rente,interest,,,,,,,,,,,
Chapter 2 > 2.2,risico,risk,,,,,,,,,,,
Chapter 5 > 5.4,ritme,rhythm,,,,,,,,,,,
Chapter 2 > 2.5,Rolstoel,Wheel Chair,,,,,,,,,,,
Chapter 1 > 1.7,rommel,rumbling,,,,,,,,,,,
Chapter 3 > 3.3,Rondvraag,Open floor discussion,,,,,,,,,,,
Chapter 4 > 4.4,Rood Staan,to be overdrawn,,,,,,,,,,,
Chapter 1 > 1.2,ruimte,room,,,,,,,,,,,
Chapter 4 > 4.3,saldo,balance,,,,,,,,,,,
Chapter 3 > 3.7,Schaar,Scissors,,,,,,,,,,,
Chapter 3 > 3.6,schaatsen,Skating,,,,,,,,,,,
Chapter 1 > 1.7,schamen,embarrass,,,,,,,,,,,
Dutch Basics,school,school,Mijn kinderen gaan naar school.,de,scholen,,,,,,,,
Chapter 3 > 3.3,schoonhouden,To keep clean,,,,,,,,,,,
Chapter 2 > 2.1,Schreeuwen,Shout Yell Scream,,,,,,,,,,,
Chapter 2 > 2.2,schrikken,to be startled/to frighten,,,,,,,,,,,
Chapter 3 > 3.7,schroef,Screw,,,,,,,,,,,
Chapter 3 > 3.7,schroevendraaier,Screwdriver,,,,,,,,,,,
Chapter 4 > 4.1,schuldig,guilty/owe,,,,,,,,,,,
Chapter 3 > 3.7,schuren,Sand,,,,,,,,,,,
Chapter 4 > 4.4,schutting,fence,,,,,,,,,,,
Chapter 3 > 3.7,schuurmachine,Sander,,,,,,,,,,,
Chapter 3 > 3.7,Schuurpapier,Sandpaper,,,,,,,,,,,
Chapter 4 > 4.5,sfeer,atmosphere,,,,,,,,,,,
Chapter 3 > 3.1,slachtoffer,Victim,,,,,,,,,,,
Chapter 2,Slagen,To pass To succeed,,,,,,,,,,,
Chapter 2 > 2.1,Slikken,Swallow,,,,,,,,,,,
Chapter 2 > 2.2,sneu,sad/pathetic,,,,,,,,,,,
Chapter 1 > 1.5,snoeien,prune,,,,,,,,,,,
Uncategorized,solliciteren,apply,,,,,,,,,,,
Chapter 1 > 1.7,somber,dull,,,,,,,,,,,
Chapter 2 > 2.3,speld,pin,,,,,,,,,,,
Chapter 1 > 1.7,spontaan,spontaneously,,,,,,,,,,,
Chapter 1 > 1.7,stabiel,stable,,,,,,,,,,,
Chapter 3 > 3.7,stekker,Plug,,,,,,,,,,,
Chapter 5 > 5.3,sterke,strong,,,,,,,,,,,
Chapter 5 > 5.1,stijgen,Rise,,,,,,,,,,,
Chapter 2 > 2.2,stoffen,substances/materials,,,,,,,,,,,
Chapter 2 > 2.6,strekken,Stretch,,,,,,,,,,,
Chapter 5 > 5.2,stressbestendig,stress resistant,,,,,,,,,,,
Chapter 3 > 3.7,Stroom,Electricity/Power/Flow,,,,,,,,,,,
Chapter 2,Taken,Tasks,,,,,,,,,,,
Chapter 3 > 3.7,tang,Pliers,,,,,,,,,,,
Chapter 4 > 4.4,tegenwoordig,nowadays,,,,,,,,,,,
Chapter 5 > 5.1,tekort,Shortage,,,,,,,,,,,
Chapter 4 > 4.2,terecht,justified,,,,,,,,,,,
Chapter 2 > 2.6,tijdelijk,Temporary,,,,,,,,,,,
Chapter 3 > 3.5,Tijdstip,Exact Time,,,,,,,,,,,
Chapter 2 > 2.2,tillen,to lift/to carry,,,,,,,,,,,
Chapter 1 > 1.5,timmeren,carpente,,,,,,,,,,,
Chapter 1 > 1.7,toegeven,to give in,,,,,,,,,,,
Chapter 5 > 5.3,toelichten,to enlighten,,,,,,,,,,,
Chapter 2 > 2.5,Toenamen,To grow increase,,,,,,,,,,,
Chapter 4 > 4.4,toeslag,allowance/supplement,,,,,,,,,,,
Chapter 5 > 5.2,toevoegen,add / include,,,,,,,,,,,
Chapter 4 > 4.1,trakteren,to treat,,,,,,,,,,,
Chapter 2 > 2.5,Troosten,Comfort consolation,,,,,,,,,,,
Chapter 3 > 3.5,Trouwens,by the way incidentally actually,,,,,,,,,,,
Chapter 5 > 5.3,tweede,second,,,,,,,,,,,
Chapter 3 > 3.7,Twijfelt,Doubt/Unsure,,,,,,,,,,,
Chapter 2 > 2.6,Uitademen,Breathe out,,,,,,,,,,,
Chapter 1 > 1.1,uitdaging,challenge ,,,,,,,,,,,
Chapter 1 > 1.1,uiteindelijk,finally,,,,,,,,,,,
Chapter 4 > 4.4,uitgaven,expenses,,,,,,,,,,,
Chapter 5 > 5.3,uitleggen,explain,,,,,,,,,,,
Chapter 2 > 2.4,Uitslag,Outcome Diagnosis Rash,,,,,,,,,,,
Chapter 5 > 5.2,uitstekend,excellent,,,,,,,,,,,
Chapter 4 > 4.3,uitzoeken,to figure out,,,,,,,,,,,
Chapter 5 > 5.2,vaardigheid,skill / ability,,,,,,,,,,,
Uncategorized,vaste,fixed,,,,,,,,,,,
Chapter 4 > 4.4,vaste lasten,fixed costs,,,,,,,,,,,
Chapter 4 > 4.5,verantwoordelijk,responsible,,,,,,,,,,,
Chapter 4 > 4.1,verbaasd,surprised,,,,,,,,,,,
Chapter 2 > 2.3,verband,binding/bandage,,,,,,,,,,,
Chapter 1 > 1.1,verbeteren,improve,,,,,,,,,,,
Chapter 5 > 5.1,verbinden,Connect,,,,,,,,,,,
Chapter 4 > 4.3,verdacht,suspicious,,,,,,,,,,,
Chapter 5 > 5.1,verdeling,Distribution,,,,,,,,,,,
Chapter 2,verdrietig,Sorrowful,,,,,,,,,,,
Chapter 3 > 3.7,Verfroller,Paint roller,,,,,,,,,,,
Chapter 2 > 2.2,vergelijken,to compare,,,,,,,,,,,
Uncategorized,Verlof,leave/vacation,,,,,,,,,,,
Chapter 4 > 4.3,verlopen,to expire,,,,,,,,,,,
Chapter 2 > 2.6,verminderen,Reduce Decrease,,,,,,,,,,,
Chapter 2 > 2.5,verpleegkundig,Nursing,,,,,,,,,,,
Chapter 1 > 1.5,versieren,decorate,,,,,,,,,,,
Chapter 2 > 2.1,Verslaafd,Addicted,,,,,,,,,,,
Chapter 3 > 3.1,Verslag,Report,,,,,,,,,,,
Chapter 2 > 2.4,Vertrouwelijk,Confidential Private Sensitive,,,,,,,,,,,
Chapter 1 > 1.7,vertrouwen,to trust,,,,,,,,,,,
Chapter 1 > 1.5,vervangen,replace,,,,,,,,,,,
Chapter 3 > 3.7,Verven,Paint,,,,,,,,,,,
Chapter 3 > 3.6,vervuiling,Pollution,,,,,,,,,,,
Chapter 2 > 2.1,Verwennen,To spoil,,,,,,,,,,,
Chapter 3 > 3.7,Verwijderen,Remove/Delete,,,,,,,,,,,
Chapter 4 > 4.4,verzekering,insurance,,,,,,,,,,,
Chapter 4 > 4.3,verzoek,request,,,,,,,,,,,
Chapter 2 > 2.3,verzorging,Care nurturing,,,,,,,,,,,
Chapter 1 > 1.2,verzorgingshuis,nursing home,,,,,,,,,,,
Chapter 5 > 5.2,vestiging,branch / establishment,,,,,,,,,,,
Chapter 1 > 1.2,vluchten,to flee,,,,,,,,,,,
Chapter 3 > 3.6,vochtig,Moist/Damp,,,,,,,,,,,
Chapter 2 > 2.1,Voeding,Food Nutritional,,,,,,,,,,,
Chapter 3 > 3.7,Volgorde,Order Sequence,,,,,,,,,,,
Chapter 2 > 2.6,volhouden,Persevere Continue Persist,,,,,,,,,,,
Chapter 3 > 3.3,Vooraf,beforehand in advance ahead of time,,,,,,,,,,,
Chapter 2,Voorbereiden,Prepare,,,,,,,,,,,
Chapter 2 > 2.6,Voorbij,Over Finished,,,,,,,,,,,
Chapter 2 > 2.6,voordoen,Demonstrate Perform,,,,,,,,,,,
Chapter 2 > 2.3,voorgeschreven,prescribed,,,,,,,,,,,
Chapter 5 > 5.2,voorkomen,to prevent / to occur,,,,,,,,,,,
Chapter 2 > 2.2,voorlopig,provisional/temporary,,,,,,,,,,,
Chapter 3 > 3.3,Voorzitten,to chair to preside over,,,,,,,,,,,
Chapter 2 > 2.6,voren,Forward,,,,,,,,,,,
Chapter 2 > 2.5,vrijwilliger,Volunteer,,,,,,,,,,,
Dutch Basics,vrouw,woman,Die vrouw is mijn moeder.,de,vrouwen,,,,,,,,
Chapter 3 > 3.3,vuilniszakken,garbage bags trash bags,,,,,,,,,,,
Chapter 3 > 3.5,waardeer,Appreciate,,,,,,,,,,,
Chapter 3 > 3.5,waarderen,to appreciate to value to respect,,,,,,,,,,,
Chapter 3 > 3.3,waarschuwen,to warn,,,,,,,,,,,
Chapter 1 > 1.2,wapen,weapon,,,,,,,,,,,
Dutch Basics,water,water,Ik drink veel water.,het,waters,,,,,,,,
Chapter 2 > 2.3,watten,cotton wool,,,,,,,,,,,
Chapter 1 > 1.1,weer,weather,,,,,,,,,,,
Chapter 3 > 3.5,weggelopen,Run away,,,,,,,,,,,
Chapter 1 > 1.1,weigeren,to refuse,,,,,,,,,,,
Chapter 4 > 4.4,werkzaamheden,activities/work,,,,,,,,,,,
Chapter 2 > 2.1,Wisselt,To change To alternate,,,,,,,,,,,
Chapter 1 > 1.2,woestijn,desert,,,,,,,,,,,
Chapter 3 > 3.7,zaag,Saw,,,,,,,,,,,
Chapter 1 > 1.5,zaaien,sow,,,,,,,,,,,
Chapter 1 > 1.5,zagen,saws,,,,,,,,,,,
Chapter 4 > 4.1,Zakgeld,pocket money,,,,,,,,,,,
Chapter 2 > 2.6,zakken,Go flat,,,,,,,,,,,
Chapter 2 > 2.6,Zakt,Sinks,,,,,,,,,,,
Chapter 3 > 3.5,zekerheid,Certainty,,,,,,,,,,,
Chapter 2 > 2.2,zenuwachtig,nervous/anxious,,,,,,,,,,,
Chapter 1 > 1.7,zich,himself,,,,,,,,,,,
Chapter 4 > 4.1,zich,oneself,,,,,,,,,,,
Chapter 3 > 3.1,Zijkant,Side,,,,,,,,,,,
Dutch Basics,zijn,to be,Ik ben student.,,,was,zal zijn,geweest,,,,,
Chapter 4 > 4.5,zinloos,pointless,,,,,,,,,,,
Chapter 5 > 5.2,zo'n,such a,,,,,,,,,,,
Chapter 3 > 3.1,Zomaar,Out of the blue Suddenly (for no reason),,,,,,,,,,,
Chapter 2 > 2.5,Zorgen,Care,,,,,,,,,,,
Chapter 5 > 5.3,zowel,both,,,,,,,,,,,
Chapter 3 > 3.6,zweten,Sweat,,,,,,,,,,,