Word,Translation,Deck,Example,Article,Plural,Past Tense,Future Tense,Past Participle
aanmelden,To register,3.3,,
Aanpak,The approach The method,2.4,,De,,
aanpassen,Adjust,2.5,,
Aanvallen,To attack,2.2,,
Achteraan,At the back/end,3.7,,
Achteraf,afterwards later in hindsight,3.3,,
Achteren,Backwards,2.6,,
ademen,to breathe,2.2,,
ademhaling,Breathing,2.6,,
Afmelden,Log out,3.3,,
afnemen,Take off,5.1,,
Afwisselend,Varied Diverse,2.4,,
arbeidsmarkt,Labour job market,5.1,,
Bedrag,Amount,3.1,,
behandelen,to treat/to handle,2.2,,
Bejaarden,Old people,2.5,,
benauwd,stuffy/breathless,2.2,,
Beperking,Limitation Restriction Disability,2.4,,
bereid,Prepared,3.5,,
Beschadigd,Damage,2.2,,
Beslissing,Decision,Chapter 2,,
Bespaar,Save,3.7,,
besparen,Save,3.7,,
Bespreken,to discuss to talk about to review,3.3,,
bestaan,Exist,2.5,,
bijeenkomst,Meeting,3.1,,
bijsluiter,package insert,2.3,,
bijwerking,side effect,2.3,,
blad,Leaf,3.1,,
Bonnen,Bones,2.7,,
boormachine,Drilling machine,3.7,,
brandwonden,Burns,2.3,,
buigen,Bend,2.6,,
daardoor,As a result because of,5.1,,
daarentegen,On the other hand,5.1,,
Dak,roof,3.1,,
Dekbed,Duvet,3.6,,
Diagnose,Diagnosis,2.4,,
Dweil,Mop,3.3,,
eenvoudig,Simple,3.7,,
eigenlijk,Actually,3.1,,
emmer,Bucket,3.7,,
ernstig,serious,2.3,,
ervaren,Experienced,5.1,,
Etiket,Label Sticker,2.1,,
evenwicht,Balance,2.6,,
fototoestel,Camera,3.6,,
Functioneren,To function To operate To perform,2.4,,
geestelijk,Spiritual Mentally,2.5,,
Geheugen,Memory,2.5,,
gehoorbescherming,hearing protection,2.2,,
genezen,Heal Cure Recover,2.2,,
gereedschapskist,Tool chest,3.7,,
geschikt,Suitable,3.1,,
gespannen,Tense,2.6,,
getuige,Witness,3.1,,
gevolg,Consequence Result Effect,2.6,,
gezamenlijk,Together,3.1,,
Graan,Grain,3.6,,
grenzen,borders/limits,2.2,,
handel,Trade business,5.1,,
Herrie,Noise,3.5,,
het valt mee,Its not so bad,3.7,,
hoestdrank,cough syrup,2.3,,
Hond,dog,Chapter 2,,
houdbaarheidsdatum,expiration date,2.3,,
houding,posture/attitude,2.2,,
inademen,Breathe in,2.6,,
inbreken,Commit burglary,3.1,,
ingewikkeld,Complicated,3.7,,
jeuk,itch,2.3,,
Kaars,Candle,3.6,,
Kachel,Stove,3.6,,
kampen met,Struggle with,5.1,,
Kant-en-klaar,Ready Made,2.1,,
Kar,Cart/Trolley,3.6,,
Kelder,Cellar,3.6,,
kiespijn,Toothache,2.3,,
Klusser,Handyman,3.3,,
Koorts,Fever,Chapter 2,,
kruiwagen,Wheelbarrow,3.1,,
Kunststof,Plastic,3.6,,
kust,Coast,3.6,,
kwast,Brush,3.7,,
Langsgaan,Pass by,3.5,,
lantaarnpaal,Lamppost,3.1,,
leunen,Lean,2.6,,
lijf,Body,2.6,,
linker,Left,2.6,,
lippenstift,lipstick,2.3,,
Logeren,Stay Sleepover (temp),3.5,,
maatregel,measure/action,2.2,,
Mager,Thin,2.1,,
Mand,Basket,3.6,,
Manier,Way,Chapter 2,,
mededeling,Announcement,3.1,,
meedoen,Join,3.1,,
meetlint,Tape measure,3.7,,
Mengen,Mix,3.7,,
middel,medicine/remedy,2.3,,
Minstens,At least,2.1,,
Mislukken,Unsuccessful/Failed,3.7,,
misselijk,nauseous/sick,2.2,,
Mogelijkheid,Possibility Option Choice,2.4,,
Nadenken,Think Reflect,Chapter 2,,
nauwelijks,hardly barely or scarcely,3.5,,
Nogal,rather quite somewhat,3.5,,
Notulen,Meeting Minutes,3.3,,
nuttig,Useful Handy,3.1,,
omgeving,environment/surroundings,Chapter 2,,
omhoog,Upwards,2.6,,
Omlaag,Downwards,2.6,,
ondernemer,Entrepreneur,5.1,,
ondertussen,Meanwhile,2.6,,
Onderzoeken,Investigate,Chapter 2,,
ongerust,Worried,3.1,,
ongeval,Accident,2.2,,
onthouden,Remember,2.6,,
Ontspannen,Relax Unwind,2.1,,
ontzettend,Terribly,3.5,,
Ontzettende,Enormous Extreme,3.5,,
oorzaak,cause/reason,2.2,,
opknappen,Fix up,3.7,,
optillen,Lift up,2.6,,
overkant,Across the street,3.1,,
overnemen,to take over to adopt to copy,3.5,,
pijnstiller,painkiller,2.3,,
pincet,tweezers,2.3,,
platteland,Countryside,3.6,,
pleister,bandage/patch,2.3,,
plotseling,Suddenly all of a sudden,2.5,,
Praatje,Small Talk,3.5,,
put,Pit/Well,3.6,,
Rechter,Right (side),2.6,,
rechtop,Upright,2.6,,
regering,Government,2.5,,
Rekening,Take into account Bill,2.5,,
risico,risk,2.2,,
Rolstoel,Wheel Chair,2.5,,
Rondvraag,Open floor discussion,3.3,,
Schaar,Scissors,3.7,,
schaatsen,Skating,3.6,,
schoonhouden,To keep clean,3.3,,
Schreeuwen,Shout Yell Scream,2.1,,
schrikken,to be startled/to frighten,2.2,,
schroef,Screw,3.7,,
schroevendraaier,Screwdriver,3.7,,
schuren,Sand,3.7,,
schuurmachine,Sander,3.7,,
Schuurpapier,Sandpaper,3.7,,
slachtoffer,Victim,3.1,,
Slagen,To pass To succeed,Chapter 2,,
Slikken,Swallow,2.1,,
sneu,sad/pathetic,2.2,,
speld,pin,2.3,,
stekker,Plug,3.7,,
stijgen,Rise,5.1,,
stoffen,substances/materials,2.2,,
strekken,Stretch,2.6,,
Stroom,Electricity/Power/Flow,3.7,,
Taken,Tasks,Chapter 2,,
tang,Pliers,3.7,,
tekort,Shortage,5.1,,
tijdelijk,Temporary,2.6,,
Tijdstip,Exact Time,3.5,,
tillen,to lift/to carry,2.2,,
Toenamen,To grow increase,2.5,,
Troosten,Comfort consolation,2.5,,
Trouwens,by the way incidentally actually,3.5,,
Twijfelt,Doubt/Unsure,3.7,,
Uitademen,Breathe out,2.6,,
Uitslag,Outcome Diagnosis Rash,2.4,,
verband,binding/bandage,2.3,,
verbinden,Connect,5.1,,
verdeling,Distribution,5.1,,
verdrietig,Sorrowful,Chapter 2,,
Verfroller,Paint roller,3.7,,
vergelijken,to compare,2.2,,
verminderen,Reduce Decrease,2.6,,
verpleegkundig,Nursing,2.5,,
Verslaafd,Addicted,2.1,,
Verslag,Report,3.1,,
Vertrouwelijk,Confidential Private Sensitive,2.4,,
Verven,Paint,3.7,,
vervuiling,Pollution,3.6,,
Verwennen,To spoil,2.1,,
Verwijderen,Remove/Delete,3.7,,
verzorging,Care nurturing,2.3,,
vochtig,Moist/Damp,3.6,,
Voeding,Food Nutritional,2.1,,
Volgorde,Order Sequence,3.7,,
volhouden,Persevere Continue Persist,2.6,,
Vooraf,beforehand in advance ahead of time,3.3,,
Voorbereiden,Prepare,Chapter 2,,
Voorbij,Over Finished,2.6,,
voordoen,Demonstrate Perform,2.6,,
voorgeschreven,prescribed,2.3,,
voorkomen,to prevent/to occur/exist,2.2,,
voorlopig,provisional/temporary,2.2,,
Voorzitten,to chair to preside over,3.3,,
voren,Forward,2.6,,
vrijwilliger,Volunteer,2.5,,
vuilniszakken,garbage bags trash bags,3.3,,
waardeer,Appreciate,3.5,,
waarderen,to appreciate to value to respect,3.5,,
waarschuwen,to warn,3.3,,
watten,cotton wool,2.3,,
weggelopen,Run away,3.5,,
Wisselt,To change To alternate,2.1,,
zaag,Saw,3.7,,
zakken,Go flat,2.6,,
Zakt,Sinks,2.6,,
zekerheid,Certainty,3.5,,
zenuwachtig,nervous/anxious,2.2,,
Zijkant,Side,3.1,,
Zomaar,Out of the blue Suddenly (for no reason),3.1,,
Zorgen,Care,2.5,,
zweten,Sweat,3.6,

